DATE,CLOSE,VOLUME
2014-09-30,386.944,34707300.0
2014-10-31,338.321014,12545400.0
2014-11-30,378.046997,9194440.0
2014-12-31,320.192993,13942900.0
2015-01-31,217.464005,23348200.0
2015-02-28,254.263,13949300.0
2015-03-31,244.223999,22672000.0
2015-04-30,236.145004,33818600.0
2015-05-31,230.190002,14730800.0
2015-06-30,263.071991,44533800.0
2015-07-31,284.649994,23629100.0
2015-08-31,230.056,20710700.0
2015-09-30,236.059998,19743500.0
2015-10-31,314.165985,48598100.0
2015-11-30,377.321014,71701600.0
2015-12-31,430.566986,45996600.0
2016-01-31,368.766998,37894300.0
2016-02-29,437.696991,60694700.0
2016-03-31,416.729004,60215200.0
2016-04-30,448.317993,69322600.0
2016-05-31,531.385986,138450000.0
2016-06-30,673.336975,138980000.0
2016-07-31,624.68103,110818000.0
2016-08-31,575.471985,75840896.0
2016-09-30,609.734985,56122400.0
2016-10-31,700.971985,97064400.0
2016-11-30,745.690979,84070800.0
2016-12-31,963.742981,99135104.0
2017-01-31,970.403015,164582000.0
2017-02-28,1179.969971,184956000.0
2017-03-31,1071.790039,447287008.0
2017-04-30,1347.890015,413115008.0
2017-05-31,2286.409912,1544829952.0
2017-06-30,2480.840088,860273024.0
2017-07-31,2875.340088,860574976.0
2017-08-31,4703.390137,1944930048.0
2017-09-30,4338.709961,1207449984.0
2017-10-31,6468.399902,2311379968.0
2017-11-30,10233.599609,8310689792.0
2017-12-31,14156.400391,12136299520.0
2018-01-31,10221.099609,8041160192.0
2018-02-28,10397.900391,6936189952.0
2018-03-31,6973.529785,4553269760.0
2018-04-30,9240.549805,8673920000.0
2018-05-31,7494.169922,5127130112.0
2018-06-30,6404.0,4543860224.0
2018-07-31,7780.439941,5287530000.0
2018-08-31,7037.580078,4495650000.0
2018-09-30,6625.560059,4002280000.0
2018-10-31,6317.609863,4191240000.0
2018-11-30,4017.268555,6048016716.0
2018-12-31,3742.700439,4661840806.0
2019-01-31,3457.792725,5831198270.0
2019-02-28,3854.7854,8399767798.0
2019-03-31,4105.404297,9045122442.0
2019-04-30,5350.726563,13878964573.0
2019-05-31,8574.501953,25365190957.0
2019-06-30,10817.155273,27256473494.0
2019-07-31,10085.62793,16631520647.0
2019-08-31,9630.664063,11454806419.0
2019-09-30,8293.868164,17115474183.0
2019-10-31,9199.584961,26583653946.0
2019-11-30,7569.629883,17158194786.0
2019-12-31,7193.599121,21167946112.0
2020-01-31,9350.529297,29432489719.0
2020-02-29,8599.508789,35792392544.0
2020-03-31,6438.644531,32786468812.0
2020-04-30,8658.553711,66964629541.0
2020-05-31,9461.058594,27773290298.0
2020-06-30,9137.993164,15735797743.0
2020-07-31,11323.466797,23160469766.0
2020-08-31,11680.820313,22285928250.0
2020-09-30,10912.536133,21226530816.0
